фру	скандинавские страна
дыра	глухое место
дипломатия	совокупность приемов
бирюк	нелюдимый человек
гадость	гадливое чувство
строитель	работник строительства
закрепление	процесс действия
злоумышление	преступный замысел
возражение	процесс действия
тождество	точное соответствие
постель	русло реки
карточка	бумажный лист
оказание	процесс действия
капот	откидная крышка
мышление	высокая ступень
управление	деятельность органов
необычность	специфические качество
клавесин	музыкальный инструмент
магнолия	вечнозелёное дерево
счисление	определение местонахождения
планида	тяжёлая судьба
жжение	ощущение жара
лиман	водами моря
край	предельная линия
комендант	начальник войск
дворецкий	буржуазный быт
агрессия	точки зрения
митрополит	высокое звание
мщение	процесс действия
раковина	защитный покров
градоначальство	канцелярия градоначальника
черепашка	насекомое отряда
осушение	процесс действия
кредит	денежная сумма
ручник	стальной молоток
серебро	отдельное вещь
резец	передние зуб
коллегия	правительственное учреждение
газик	легковой автомобиль
физиология	грубая чувственность
сотворение	процесс действия
углекислота	двуокиси углерода
дезертирство	самовольное оставление
приглашение	процесс действия
катастрофа	драматическое произведение
окружение	полная изоляция
откровенность	откровенный признание
граната	разрывный снаряд
дупель	болотная птица
рождение	момент появления
шляхта	мелкопоместное дворянство
смоковница	фиговое дерево
хижина	небольшой домик
жердина	длинная жердь
научение	процесс действия
дискомфорт	отсутствие комфорта
кладовая	место хранения
экскаватор	землеройная машина
производство	процесс создания
электроэнергия	электрическая энергия
плетушка	плетёная корзина
самоотвержение	забвение себя
бампер	специальное устройство
трансмиссия	совокупность механизмов
белок	прозрачная жидкость
ретирада	отхожее место
фаза	отдельный момент
топь	вязкое место
осенение	процесс действия
дотация	денежный средство
рондо	инструментальная музыка
председательство	исполнение обязанностей
антифриз	незамерзающая жидкость
домостроительство	строительство домов
ракета	летательный аппарат
хватка	способ действия
перевязка	хищный зверек
вернисаж	торжественное открытие
дивиденд	капиталистическое общество
кровосос	беспощадный человек
пол-литра	половина литра
панда	хищное млекопитающее
приветливость	приветливое отношение
платан	большого дерево
количество	логические категория
байт	единица измерения
суховей	горячий ветер
груда	большой куча
богомолец	льца человек
полоний	химический элемент
сопение	процесс действия
нежность	поступки слова
пролетарий	древний рим
аудитор	должностное лицо
гнейс	кристаллическая порода
дача	участок земли
фортка	передний разрез
нечистота	отсутствие чистоты
парабеллум	автоматический пистолет
изучение	процесс действия
жвачка	жевательная резинка
королевич	сын короля
орден	знак отличия
устремление	настойчивое влечение
юмор	художественный прием
раут	званый вечер
приношение	процесс действия
провожатый	церковное венчание
моська	маленькая собачка
статс-секретарь	должностные лицо
толмач	должностное лицо
лекция	учебное занятие
веер	разнообразный набор
санаторий	профилактическое учреждение
семинария	учебные заведение
сковорода	количество пищи
уголок	небольшой предмет
зяблик	птица семейства
пленка	эластичная лента
срыв	неудачное место
целеуказание	указание места
дробление	процесс действия
пончик	жареный пирожок
прибой	основные операция
сухарь	кусок хлеба
приемыш	приёмный сын
заземление	электрическое соединение
вздутие	процесс действия
голос	внутреннее побуждение
торфяник	залежи торфа
вермишель	пищевого продукт
май	последний месяц
громадина	огромный предмет
казнь	суровое наказание
служанка	служебное значение
стойка	стоячий воротник
землепользование	порядок условия
апокалипсис	библейская книга
блаженство	высокая степень
дичок	необщительный человек
окружность	окружающая местность
забава	несерьёзное занятие
гора	значительную возвышенность
охват	всестороннее познание
осведомленность	наличие сведений
станок	небольшой поселок
экзема	кожная болезнь
писк	плач ребенка
казначей	выборное лицо
собачник	любитель собак
девятка	игральная карта
верх	руководящие круг
канун	знаменательный день
очередь	определённое количество
угрызение	чувство стыда
ассамблея	общее собрание
кино	смешное событие
откровение	откровенное признание
биофизика	научная дисциплина
акцепт	безналичный расчет
школа	учебные заведение
сахарин	органическое соединение
протектор	рельефный рисунок
оглушение	процесс действия
передряга	резкое изменение
звонарь	болтливый человек
обзаведение	процесс действия
сноп	большого букет
резкость	грубое слово
кумач	хлопчатобумажная ткань
роспись	декоративную живопись
сердечник	многолетняя трава
горбач	млекопитающее семейства
танго	бальный танец \| медленный танец
штурм	решительный действие
автограф	рукописный текст
казус	необычное дело \| запутанное дело
лунка	небольшое углубление
интегратор	вычислительное устройство
вес	числовые отношение
сахара	органические соединение
бикини	купальный костюм
линь	пеньковый трос \| пеньковый канат
песчанка	небольшая птица
фантастика	друг друга
центр	населил пункт
конверсия	способ образования
комета	пассажирское судно
фортификация	оборонительный сооружение
подковка	небольшая булочка
клоака	запустило помещение
идеализм	философские учение
нигилизм	этическое течение
макет	пробный образец
радость	счастливое событие
мастер	квалифицировал рабочий
карьерист	неодобрый человек
полустанок	железнодорожная станция
углекислота	двуокись углерода
угрызение	мучительное состояние
ангел	святое имя
голодание	сознательный отказ
пломба	плотное вещество
декомпрессия	постепенное уменьшение
комик	автор комедий
вандал	невежественный человек
предложение	поступление товаров
параллель	параллельная линия
микрон	единица длины
мор	большого количество
менеджмент	искусство управления
тон	эмоциональная настроенность
фехтование	система приёмов
провинция	территориальная единица
кислотность	степень содержания
территория	воздушное пространство
благословение	свадебный обряд
ферма	сельскохозяйственное предприятие
активист	деятельный член
аллергия	реактивность организма
полслова	половина слова
мурава	стекловидное покрытие
пятилетка	план развития
царевна	красивая девушка
хохот	громкий смех
здоровье	состояние организма
стеклодув	стекольная промышленность
флора	растительный мир
пустошь	участок земли
усердие	сердечное расположение
челобитье	древняя русь
коктейль	безалкогольный напиток
заяц	безбилетный пассажир
дюжина	однородные предмет
жена	замужняя женщина
заводила	энергичный человек
оттиск	печатный лист
королева	красивая женщина
уважение	уважительное отношение
маршрут	путь следования
значок	нагрудный знак
штаб-офицер	офицерские чин
адонис	травянистое растение
антракт	музыкальная пьеса
мужик	женатый мужчина
кафешантан	увеселительное заведение
цикорий	травянистое растение
юриспруденция	практическую деятельность
наличка	наличный деньги
клюшка	деревянные палочка
новичок	новый ученик
клоп	мелкое насекомое
чемодан	прочный материал
прибытие	процесс действия
мушкет	огнестрельное оружие
бог	предмет поклонения
биостанция	исследовательское учреждение
псаломщик	церковный служитель
внутренность	внутреннее пространство
поганец	гадкий человек
спецшкола	средняя школа
физик	преподаватель физики
взаимопомощь	взаимная помощь
жох	изворотливый человек
сероводород	бесцветный газ
антиминс	шёлковый платок
жасмин	декоративный кустарник
ягода	привлекательная женщина
творение	процесс действия
бобок	отдельное семя
блондин	светловолосый мужчина
успеваемость	степень успешности
кб	конструкторское бюро
четвертинка	бутылка водки
религия	непоколебимый убеждение
трясогузка	хрупкое сложение
рама	оконный переплет
котлета	кусок мяса
дивертисмент	инструментальная пьеса
фигура	внешний очертание
кубрик	нижняя палуба
хвост	пустая порода
парковка	процесс действия
генерал-квартирмейстер	штабная должность
спичка	худой человек
гистология	гистологическое исследование
класс	определённая степень
осуждение	судебный приговор
текучка	больший дело
якобинец	мыслящий человек
взгорок	небольшая горка
ход	ряда выступлений
менуэт	бальный танец
заблуждение	ошибочное мнение
лубок	лубочная литература
ящик	различные приспособление
колдовство	магические прием
партконференция	партийную конференция
череда	последовательная смена
невнятица	невразумительный слово
предводительство	выполнение роли
примирение	процесс действия
латы	стальная броня
индукция	метод мышления
принуждение	энергичное воздействие
реанимация	помещение больницы
фисгармония	музыкальный инструмент
медок	французское вино
чертог	великолепное здание
химия	продукты питания
радость	внешнее проявление
аконит	травянистое растение
подпитка	письменное обязательство
ирония	риторическая фигура
вертушка	детская игрушка
фляга	небольшая емкость
смешивание	процесс действия
позиция	положение тела
происки	коварный действие
переборка	процесс действия
стрекот	частые звук
заклинание	словесная формула
гепатит	воспалительное заболевание
жаворонок	организация психики
попутка	попутная машина
досуг	свободное время
хранение	процесс действия
контры	взаимный неудовольствие
полубог	античная мифология
аукцион	публичную продажа
мертвечина	трупы животных
шестерня	зубчатое колесо
формулирование	процесс действия
ограждение	оградительное сооружение
эпилог	заключительная сцена
эшелон	походное движение
отвлечение	отвлечённое понятие
ультрафиолет	невидимый глаз
ушкуйник	древняя русь
электротехника	научная дисциплина
корректор	работник типографии
движение	внутреннее побуждение
формализм	идеалистическое направление
глушь	малолюдное место
заступление	процесс действия
статика	отсутствие движения
возмущение	сильное раздражение
психика	особое свойство
сложение	процесс действия
подчинение	процесс действия
руководительство	деятельность руководителя
бездна	бесконечность времени
обогащение	процесс действия
хозяйчик	мелкий предприниматель
желчь	горькая жидкость
экзальтация	возбудило состояние
лютик	травянистое растение
барьер	невозможность общения
обливание	процесс действия
скороговорка	сочетание слов
реформизм	политическое течение
беспокойство	тревожное состояние
рептилия	буржуазная газета
конкуренция	политическую экономия
параллель	различные устройство
лоза	гибкий стебель
князь	предводитель войска
подорожник	луговая трава
орлянка	азартная игра
премия	материальное поощрение
шаг	быстрый шаг
купе	раздвижная дверь
армада	большого количество
кошт	денежный средство
максимализм	левое течение
грузоподъемность	предельная нагрузка
прощание	последнее свидание
безмен	русская мера
сварка	место соединения
стервец	подлый человек
корифей	деятель науки
халифат	феодальное государство
высота	качество звука
удушение	процесс действия
усыпление	состояние сна
лавочник	владелец лавки
сельпо	потребительское общество
ремонт	исправление повреждений
статья	степень звания
неимение	неимением средств
гаршнеп	болотная птица
концлагерь	концентрационный лагерь
золочение	процесс действия
гистограмма	графическое изображение
