гаршнеп	болотная птица отряда
сырник	кушанье из творога
переход	сооружение для передвижения
телефонист	специалист в области
шурф	подземная горная выработка
материк	крупных частей суши
губерния	россии с начала
гидролог	специалист в области
транспорт	отрасль народного хозяйства
полати	настил из досок
интеллектуализм	направление в психологии
соболь	изделия из меха
зяблик	птица из семейства
хлопушка	травянистое растение семейства
миноискатель	прибор для обнаружения
бордо	вина из винограда
патологоанатом	специалист в области
сеть	приспособление для ловли
клемма	устройство для присоединения
выключатель	устройство для замыкания
лесник	работник лесного хозяйства
опоздание	нарушение установленного срока
тахометр	прибор для измерения
позиция	район военных действий \| район боевых действий
догматик	специалист в области
очиток	травянистое растение семейства
мулла	служитель религиозного культа
пищаль	духовой музыкальный инструмент
дизель	двигатель внутреннего сгорания
бестселлер	ряде зарубежных стран
кутья	кушанье из крупы
испаритель	прибор для измерения
сивко	птица из отряда
помидор	овощное растение семейства
контроллер	прибор для регулирования
килька	промысловая рыба семейства
папирус	травянистое растение семейства
кинематограф	прибор для демонстрации
фураж	корм для лошадей
чистоплюй	человек до крайности
лаг	прибор для определения
плечики	вешалка для платья
транспарант	лист плотной бумаги
аранжировка	переложение музыкального произведения
возмущение	отклонение небесных тел
вклад	достижение в области
вскрытие	исследование внутренних органов
коза	машина для подъема
питание	усвоение питательных веществ
западня	приспособление для ловли
черчение	предмет школьного преподавания
альфа	буквы греческого алфавита
кандидат	степень в ссср
юстиция	система судебных учреждений
иллюстрация	произведение изобразительного искусства
бык	рогатое животное отряда
лучник	стрелок из лука
аэродром	участок земной поверхности
скат	приспособление для скатывания
зоолог	специалист в области
девальвация	обесценение национальной валюты
леди	наименование замужней женщины
этюд	произведение изобразительного искусства
топор	орудие для рубки
тон	интервал темперированной гаммы
эмират	система государственного управления
силос	корм для скота
кроншнеп	птица из семейства
руководство	пособие для изучения
белорыбица	промысловая рыба семейства
кораблестроение	отрасль тяжёлой промышленности
загруженность	наличие большого количества
бройлер	помещение для выращивания
атлет	человек крепкого телосложения
колода	комплект игральных карт
глухарь	лесная птица семейства
профессор	звание преподавателя высшего
жатка	машина для скашивания
агитатор	член политической партии
катушка	стержень для наматывания
предбанник	помещение для раздевания
брусчатка	материал для мощения
мультипликатор	устройство для усиления
нечистота	содержимое выгребных ям
стыд	чувство моральной ответственности
амброзия	травянистое растение семейства
хлопчатник	однолетнее растение семейства
рябчик	травянистых растений семейства
зажигание	приспособление для воспламенения
соха	старину на руси
балкон	места для зрителей
репатриация	возвращение на родину
исход	книга ветхого завета
кран	машина для подъема
куколь	сорное растение семейства
плотва	пресноводная рыба семейства
октябрь	социалистическая революция г
техник	специалист в области
терапевт	специалист в области
кошель	приспособление для ловли
счетовод	специалист в области
девятка	отметка об успеваемости
отдых	остановка в пути
океанограф	специалист в области
антрополог	специалист в области
ореол	сияние вокруг головы
кинза	травянистое растение семейства
пробник	прибор для взятия
драхма	единица аптекарского веса
ротвейлер	порода служебных собак
чемодан	снаряд крупного калибра
станок	машина для обработки
дочь	лицо женского пола
лебедка	машина для подъема
спасение	избавление от опасности
радиопередача	передача по радио
интернат	специализированное учебное заведение
эсэсовец	член фашистской организации
ствол	устройство для получения
трясогузка	птица из отряда
радиоприемник	аппарат для приема
власть	органы государственного управления
цапля	болотная птица отряда
отупение	состояние крайней усталости
господин	дворянском обществе человек
лук	луковичное растение семейства
рыбак	любитель рыбной ловли
примус	прибор для приготовления
йота	буква греческого алфавита
телефон	аппарат для осуществления
апрель	месяца календарного года
стряпка	помещение для приготовления
медалист	выпускник средней школы
масленка	устройство для подачи
стабилизатор	устройство для поддержания
шток	месторождение полезного ископаемого
эпос	произведения народного творчества
специалист	работник в области
снегирь	певчая птица отряда
копи	месторождение полезных ископаемых
ведомость	газет в россии
глобус	модель земного шара
развалины	скопление каменных глыб
лавр	венок из листьев
брасс	способ спортивного плавания
пророк	воззрениям различных религий
редис	овощное растение семейства
длительность	протяженность во времени
кузнечик	насекомое из отряда
пятидесятник	командир воинского подразделения
камера	помещение специального назначения
металлург	специалист в области
ревизия	перепись в россии
уключина	приспособление для укрепления
бурав	инструмент для сверления
войско	совокупность вооруженных сил
метла	предмет хозяйственного обихода
корж	лепешка из муки
тормоз	устройство для снижения
флюгер	прибор для измерения
театральность	совокупность характерных свойств
динамо-машина	генератора постоянного тока
аудит	проверка финансовой деятельности
подворье	дом в городе
параша	сосуд для испражнений
прибой	место у берега
затейник	организатор массовых игр
молочник	сосуд для молока
грамота	начальные сведения знания
вездеход	автомобиль для передвижения
фронт	совокупность вооруженных сил
синоптик	специалист в области
глушитель	устройство для снижения
угар	состояние крайнего возбуждения
признание	объяснение в любви
алоэ	травянистое растение семейства
почтмейстер	начальник почтовой конторы
коммутатор	устройство для замыкания
депо	место для хранения
ля	звук музыкальной гаммы
сокровищница	помещение для хранения
возвышенность	участок земной поверхности
полусвет	женщинах лёгкого поведения
апокалипсис	книг нового завета
нитрат	соль азотной кислоты
кош	приспособление для ловли
плавание	полёт космического корабля
фольклорист	специалист в области
дипломат	пальто особого покроя
затравка	средство для возбуждения
протодьякон	дьякон высшего чина
ум	человек с точки
выемка	вырез у платья
караул	группа вооруженных людей
кафедра	возвышение для оратора
спокойствие	состояние душевного покоя
цифра	знак для обозначения
совпартшкола	школа для подготовки
тмин	травянистое растение семейства
дельта	буквы греческого алфавита
султан	титул верховного правителя
картограф	специалист в области
бур	инструмент для сверления
культурность	уровень культурного развития
выбоина	углубление на поверхности
хирург	специалист в области
партизан	участник вооруженной борьбы
кашалот	млекопитающее из отряда
детектив	агент сыскной полиции
вольтметр	прибор для измерения
взрывник	специалист в области
фрау	наименование замужней женщины
ортопед	специалист в области
девушка	лицо женского пола
забытье	состояние сильного возбуждения
здравница	учреждение для лечения
иволга	певчая птица отряда
любовь	чувство глубокой привязанности
ускоритель	установка для получения
гараж	помещение для стоянки
поддон	сеть для ловли
потенциометр	прибор для измерения
щавель	травянистое растение семейства
метеоролог	специалист в области
кроль	стиль спортивного плавания
философ	студент философского факультета
психология	совокупность психических процессов
кофейник	сосуд для варки
ссора	столкновение противоположных сторон
юриспруденция	совокупность юридических наук
си	звук музыкальной гаммы
кролик	изделия из меха
повар	специалист в области
непринятие	отказ от принятия
бас	духовой музыкальный инструмент
гран	единица аптекарского веса
скворец	певчая птица отряда
замок	приспособление для запирания
орнитолог	специалист в области
тупость	ограниченность умственных способностей
герцог	титул высшего дворянства
лазер	прибор для получения
литературовед	специалист в области
лучок	приспособление для ловли
унитаз	раковина в уборной
дискотека	зал для танцев
наживка	приманка для ловли
какао	порошок из семян
зарядка	совокупность гимнастических упражнений
циркуль	инструмент для вычерчивания
икс	буквы латинского алфавита
индикатор	прибор для измерения
гробница	сооружение из камня
баловень	человек к рого
конфликт	столкновение противоположных сторон
косметолог	специалист в области
игуменья	настоятельница женского монастыря
кораблестроитель	специалист в области
статистик	специалист в области
инструментовка	изложение музыкального произведения
ботаник	специалист в области
колея	след от колеса
радиопередатчик	аппарат для передачи
комната	помещение специального назначения
авиатор	специалист в области
покалывание	время от времени
дисциплина	отрасль научного знания \| отрасль научных знаний
выработка	размер заработной платы
цивилизация	уровень общественного развития
померанец	вечнозеленое дерево семейства
луг	участок земной поверхности
вход	место для прохода
сойка	перелетная птица отряда
херес	вина из винограда
лицо	человек с точки
окисел	соединение химического элемента
индукция	возбуждение электродвижущей силы
капсюль	стержень на к
капитуляция	прекращение военных действий
сретение	праздников православной церкви
тяга	совокупность технических устройств
пальма	дерево южных стран
равелин	равелинов петропавловской крепости
морфий	алкалоид опийного мака
рок	основой молодёжной культуры
гусь	крупная водоплавающая птица
лаборатория	помещение для проведения
угольщик	работник угольной промышленности
пион	декоративное растение семейства
француз	преподаватель французского языка
жизнелюбие	любовь к жизни
классик	специалист в области
клозет	помещение для отправления
апелляция	обжалования судебных решений
иск	средство судебной защиты
пуля	снаряд для стрельбы
минералог	специалист в области
трап	аппарат для отделения
эмиссия	выпуск ценных бумаг
шпроты	промысловая рыба семейства
ранец	сумка из кожи
гуляш	кушанье из кусочков
грелка	прибор для обогревания
плечико	вешалка для платья
кружало	встарину в россии
урна	сосуд для хранения
рябинка	полукустарниковое растение семейства
чиж	певчая птица семейства
баня	прибор для нагревания
пластика	совокупность выразительных средств
озорство	нарушение общественного порядка
бочка	цистерне для перевозки
церковнослужитель	служитель в церкви
микробиолог	специалист в области
террариум	помещение для содержания
ординарец	офицер для поручений
шлагбаум	перекладина для открытия
посуда	предметы домашнего обихода
сексолог	специалист в области
кош	место постоянного пребывания
талия	комплект игральных карт
комендант	начальник хозяйственной части
путеец	специалист в области
уровень	прибор для проверки
ре	звук музыкальной гаммы
держатель	приспособление для держания
клоунада	жанр циркового искусства
депрессия	понижение земной поверхности
бочка	фигура высшего пилотажа
ключ	время военных действий
шаблон	инструмент для измерения
экономист	специалист в области
ковш	совок для зачерпывания
епископат	система церковного управления
физиолог	специалист в области
стрела	приспособление для подъема
соль	звук музыкальной гаммы
эдикт	указ верховной власти
сериал	телевидении в кино
мультипликатор	прибор при помощи
пертурбация	отклонение небесных тел
экономайзер	прибор для нагревания
становище	место временного расположения
герпес	заболевание у человека
лоток	совок для зачерпывания
ручей	углубление на поверхности
финка	лошадь северной породы
препятствие	преграда на пути
геолог	специалист в области
крест	движением правой руки
массовик	организатор массовых игр
ливр	франции до г
амперметр	прибор для измерения
девиация	отклонение магнитной стрелки
мостки	настил из досок
патрон	образец для кройки
теплообменник	аппарат для передачи
бочка	введения метрической системы
простак	персонаж драматического произведения
распашонка	рубашка особого покроя
кварта	ступень диатонического звукоряда
термостат	устройство для поддержания
выставка	увольнение со службы
завещатель	лицо от имени
аршин	русская мера длины
минтай	промысловая рыба семейства
ы	буква русского алфавита
шифоньер	шкаф для одежды
подозрение	предположение о возможности
подсознание	совокупность психических процессов
щуп	инструмент для измерения
институт	среднее учебное заведение
моряк	ветер с моря
заслонка	приспособление для закрывания
радиатор	устройство для охлаждения
глубиномер	прибор для измерения
машинист	работник железнодорожного транспорта
ходок	выборный от крестьян
хождение	жанр древнерусской литературы
держава	приспособление для держания
сноб	дворянском обществе человек
офицер	лицо командного состава
птица	человеке с точки
колпачок	гриб из семейства
скамейка	приспособление для сидения
финансист	специалист в области
правительство	группа должностных лиц
огородничество	отрасль сельского хозяйства
дезодорант	средство для уничтожения
реостат	прибор при помощи
видоизменение	изменение внешнего вида
видеомагнитофон	аппарат для записи
грейпфрут	плодовое дерево семейства
мандрагора	многолетнее травянистое растение
судок	приспособление для переноски
непризнание	отказ от признания
короб	изделие из луба
прелюбодеяние	нарушение супружеской верности
подкорка	скопление нервных клеток
орудие	средство для достижения
старшеклассник	ученик старшего класса
орлан	хищная птица семейства
горловина	вырез у платья
крот	изделия из меха
покровительство	обеспечение благоприятных условий
богатырь	человеке высокого роста \| человек большого роста
революционер	участник революционного движения
волчок	отверстие в двери
церковь	сооружение культового назначения
капиталист	представитель господствующего класса
зажигалка	прибор для получения
диктофон	аппарат для записи
завком	комитет профессионального союза
устой	слой на поверхности
нона	ступень диатонической гаммы
сердечник	специалист в области
надир	точка небесной сферы
корреспонденция	сообщение с мест
корсет	принадлежность женской одежды
уха	суп из рыбы
радиоизлучение	излучение электромагнитных волн
патриаршество	система церковного управления
квартира	место временного расположения
старшекурсник	студент старшего курса
щегол	певчая птица отряда
гальванометр	прибор для измерения
гуща	место наибольшего скопления
схватка	приспособление для скрепления
грибница	теплица для выращивания
дуршлаг	предмет кухонной утвари
лесовод	специалист в области
насилие	применение физической силы
курай	музыкальный инструмент род
прут	изделие из металла
свита	женская народная одежда
четверть	русская мера объема
налим	пресноводная рыба семейства
электромагнит	устройство для получения
технолог	специалист в области
грудка	мясо грудной части
теософия	учение о возможности
шпингалет	задвижка для запирания
декоратор	специалист в области
фанфара	музыкальный инструмент род
рынок	система общественных отношений
педиатр	специалист в области
эксцесс	нарушение общественного порядка
ларец	ящик для хранения
севрюга	промысловая рыба семейства
филолог	студент филологического факультета
гигиенист	специалист в области
земля	планета солнечной системы
тимус	железа внутренней секреции
конверсия	конверсия военного производства
палитра	совокупность выразительных средств
наколка	украшение из материи
иван-чай	многолетнее травянистое растение
оранжерея	помещение для выращивания
книжонка	книга в и
девятка	игры в карты
прорезь	судно для перевозки
славка	певчая птичка отряда
теплица	помещение для выращивания
ритмика	система физических упражнений
партийность	принадлежность к партии
манго	плодовое дерево семейства
серия	ряд однородных предметов
вокзал	здание для обслуживания
январь	месяц календарного года
рогожка	ткань полотняного переплетения
голодовка	отказ от пищи
сентябрь	месяц календарного года
раздражение	реакция живой клетки
запор	приспособление для запирания
переворот	фигура высшего пилотажа
проказа	инфекционное заболевание человека
опасение	предположение о возможности
ремень	полоса вдоль спины
долото	инструмент для обработки
новость	товар нового сорта
гуталин	мазь для чистки
россыпь	скопление каменных глыб
сито	прибор для определения
животноводство	отрасль сельского хозяйства
параллель	друг от друга
археолог	специалист в области
фрейлейн	наименование незамужней женщины
романист	специалист в области
вышина	протяженность по вертикали
трансформатор	устройство для преобразования
гомеопат	специалист в области
анатом	специалист в области
нарцисс	луковичное растение семейства
колонка	установка для отпуска
олеография	копия с картины
поликлиника	лечебно профилактическое учреждение
правосудие	деятельность судебных органов
вожак	руководитель общественного движения
укроп	огородное растение семейства
резистор	элемент электрической цепи
батька	командир партизанского отряда
арбитраж	разрешение спорных вопросов
лебеда	сорное растение семейства
мера	средство для осуществления
базар	место для торговли
ампула	сосуд для хранения
автоматизация	применение технических средств
жаворонок	птица из семейства
собаковод	специалист в области
стихия	явление общественной жизни
заскок	отклонение от нормы
отлив	приспособление для стока
невропатолог	специалист в области
комиссия	учреждение специального назначения
школа	направление в области
отдел	частей на к
медик	специалист в области
лиса	изделия из меха
юрист	студент юридического факультета
дубонос	певчая птица семейства
циклон	аппарат для очистки
самоиндукция	возбуждение электродвижущей силы
кацавейка	женская народная одежда
козлище	овец от козлищ
возбуждение	реакция живой клетки
концентрат	корм для скота
скала	участок земной поверхности
курсант	воспитанник военного училища
навигатор	специалист в области
тальник	заросли кустарниковой ивы
повойник	русский головной убор
газоанализатор	прибор для определения
танкер	судно для перевозки
астра	декоративное растение семейства
гипертония	повышение кровяного давления \| повышение артериального давления
сардинка	рыбка из семейства
пеликан	водоплавающая птица отряда
кофе	порошок из семян
привал	остановка в пути
нумизматика	раздел исторической науки
логопед	специалист в области
керосинка	сосуд для хранения
обезьяна	изделия из меха
касса	счет бухгалтерского учета
каппа	буквы греческого алфавита
пансион	общежитие для учащихся
священнослужитель	служитель религиозного культа
измена	нарушение супружеской верности
дезертирство	уклонение от исполнения
выкройка	образец для кройки
чара	сосуд для питья
ковчег	вместилище для хранения
формация	совокупность горных пород
рок-музыка	основой молодёжной культуры
терция	ступень диатонической гаммы
флегма	человек флегматического темперамента
синтез	метод научного исследования
венеролог	специалист в области
ихтиолог	специалист в области
кювет	канава для стока
выход	обнажение горных пород
обезьяна	животное из отряда
тау	буквы греческого алфавита
группа	человек животных растений
бокал	сосуд для вина
гардероб	шкаф для одежды
акр	мера земельной площади
погреб	помещение для хранения
слабость	недостаток физических сил
ключ	приспособление для запирания
аритмия	нарушение сердечного ритма
пэр	титул высшего дворянства
птичник	помещение для содержания
пейджер	устройство для приема
поддавки	игре в шашки \| игры в шашки \| игра в шашки
код	система условных знаков
корова	рогатое животное отряда
змейка	фигур высшего пилотажа
сила	способность живых существ
тимпан	ударный музыкальный инструмент
сосуд	изделие из стекла
куб	сосуд цилиндрической формы
электрометр	прибор для измерения
мутовка	предмет домашней утвари
великан	человек огромного роста
подмостки	настил из досок
самка	особь женского пола
капитуляция	отказ от продолжения
медвежатник	охотник на медведей \| охотник на медведя
гауптвахта	помещение для содержания
причащение	обрядов христианской церкви
аномалия	отклонение от нормы
медпункт	пункт медицинской помощи
середняк	человек среднего возраста
тростник	многолетнее растение семейства
пакгауз	склад для хранения
философ	специалист в области
онколог	специалист в области
вилка	предметов столового прибора
апатия	состояние полного равнодушия
поводырь	провожатый для указания
кошка	изделия из меха
лебедь	перелетная птица семейства
сезам	травянистое однолетнее растение
хронограф	памятник древней письменности
архитектор	специалист в области
лот	прибор для измерения
клевер	травянистое растение семейства
весельчак	человек веселого нрава
шлак	остаток от сжигания
брюшко	живот у человека
мажордом	эпоху раннего средневековья
пресс-атташе	сотрудник дипломатического представительства
личность	человек с точки
выпивка	употребление спиртных напитков
рысь	изделия из меха
винт	приспособление для приведения
сеновал	помещение для хранения
банан	заколка для волос
житница	помещение для хранения
аккумулятор	устройство для накопления
сирена	устройство для получения
женщина	лицо женского пола
литератор	специалист в области
тяпка	орудие для рубки
гамма	буквы греческого алфавита
мид	министерство иностранных дел
дорога	место для прохода
поле	множество однородных предметов
малиновка	певчая птица семейства
посылка	основание для вывода
соль	вещество белого цвета
мобилизация	перевод вооруженных сил
блок	приспособление для подъема
рабовладелец	представитель господствующего класса
патриотизм	любовь к родине
